#EventID|Time|Latitude|Longitude|Depth/Km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName|EventType
4949651|2015-02-11T17:20:15.930000|42.736|13.3612|20.3|BULLETIN-INGV||||ML|2.5|--|6 km SW Acquasanta Terme (AP)|earthquake
4949741|2015-02-11T17:24:12.800000|42.7287|13.3553|22.0|BULLETIN-INGV||||ML|2.8|--|6 km SW Acquasanta Terme (AP)|earthquake
4950071|2015-02-11T17:30:47.120000|42.7368|13.3582|23.3|BULLETIN-INGV||||ML|2.5|--|6 km SW Acquasanta Terme (AP)|earthquake
4950161|2015-02-11T17:32:05.130000|42.7328|13.3642|21.6|BULLETIN-INGV||||ML|3.0|--|6 km SW Acquasanta Terme (AP)|earthquake
5107571|2015-03-18T03:55:41.450000|42.718|13.0477|9.9|BULLETIN-INGV||||ML|2.5|--|3 km E Cascia (PG)|earthquake
5214991|2015-04-08T14:22:09.010000|42.875|13.2898|7.8|BULLETIN-INGV||||Mw|3.2|--|4 km SW Montemonaco (AP)|earthquake
5292851|2015-04-18T22:20:42.580000|42.8722|13.3013|6.9|BULLETIN-INGV||||ML|2.9|--|4 km SW Montemonaco (AP)|earthquake
5323381|2015-04-23T13:21:57.310000|42.865|13.287|6.8|BULLETIN-INGV||||ML|2.5|--|5 km NW Montegallo (AP)|earthquake
5324791|2015-04-23T16:55:42.340000|42.499|13.2788|10.7|BULLETIN-INGV||||ML|2.6|--|3 km SW Capitignano (AQ)|earthquake
5333141|2015-04-24T19:34:25.670000|42.779|13.2237|10.7|BULLETIN-INGV||||ML|2.6|--|6 km W Arquata del Tronto (AP)|earthquake
5390701|2015-05-04T14:02:47.160000|42.7355|12.7565|9.6|BULLETIN-INGV||||ML|2.5|--|1 km E Spoleto (PG)|earthquake
5390901|2015-05-04T14:39:50.300000|42.7362|12.7583|10.0|BULLETIN-INGV||||ML|2.7|--|2 km E Spoleto (PG)|earthquake
5413381|2015-05-08T04:50:10.930000|42.7813|13.5393|20.4|BULLETIN-INGV||||ML|3.0|--|6 km NE Valle Castellana (TE)|earthquake
5490771|2015-05-21T09:33:44.750000|43.0445|13.3135|21.5|BULLETIN-INGV||||ML|3.4|--|1 km NE Sarnano (MC)|earthquake
5732101|2015-07-06T15:25:10.230000|42.5462|12.9913|11.2|BULLETIN-INGV||||ML|2.7|--|3 km SE Leonessa (RI)|earthquake
5842131|2015-07-25T20:57:49.490000|42.6377|13.0315|10.4|BULLETIN-INGV||||ML|3.0|--|7 km E Monteleone di Spoleto (PG)|earthquake
5954451|2015-08-15T16:59:05.010000|42.913|13.1083|9.2|BULLETIN-INGV||||ML|2.7|--|3 km SE Visso (MC)|earthquake
5955021|2015-08-15T17:51:15.900000|42.916|13.1152|9.7|BULLETIN-INGV||||ML|2.9|--|3 km SE Visso (MC)|earthquake
5965541|2015-08-18T02:34:05.320000|42.472|13.4752|10.4|BULLETIN-INGV||||ML|2.8|--|9 km S Crognaleto (TE)|earthquake
